Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,44,8,Some Random Commen with Id 0
1,0,4,5,3,Some Random Commen with Id 1
2,0,4,152,3,Some Random Commen with Id 2
3,1,3,70,0,Some Random Commen with Id 3
4,1,3,19,4,Some Random Commen with Id 4
5,1,3,25,2,Some Random Commen with Id 5
6,1,3,165,6,Some Random Commen with Id 6
7,2,5,21,2,Some Random Commen with Id 7
8,2,5,178,3,Some Random Commen with Id 8
9,2,5,81,1,Some Random Commen with Id 9
10,2,5,184,9,Some Random Commen with Id 10
11,3,7,72,7,Some Random Commen with Id 11
12,3,7,104,1,Some Random Commen with Id 12
13,4,0,106,7,Some Random Commen with Id 13
14,4,0,156,7,Some Random Commen with Id 14
15,4,0,1,3,Some Random Commen with Id 15
16,5,1,66,9,Some Random Commen with Id 16
17,5,1,103,5,Some Random Commen with Id 17
18,5,1,196,6,Some Random Commen with Id 18
19,5,1,176,9,Some Random Commen with Id 19
20,5,1,48,0,Some Random Commen with Id 20
21,5,1,182,5,Some Random Commen with Id 21
22,5,1,116,5,Some Random Commen with Id 22
23,5,1,145,9,Some Random Commen with Id 23
24,6,6,86,6,Some Random Commen with Id 24
25,6,6,198,9,Some Random Commen with Id 25
26,6,6,176,9,Some Random Commen with Id 26
27,6,6,188,2,Some Random Commen with Id 27
28,6,6,184,1,Some Random Commen with Id 28
29,6,6,31,0,Some Random Commen with Id 29
30,6,6,120,1,Some Random Commen with Id 30
31,6,6,95,8,Some Random Commen with Id 31
32,7,0,98,7,Some Random Commen with Id 32
33,7,0,116,1,Some Random Commen with Id 33
34,7,0,179,2,Some Random Commen with Id 34
35,7,0,3,3,Some Random Commen with Id 35
36,7,0,47,8,Some Random Commen with Id 36
37,7,0,24,4,Some Random Commen with Id 37
38,7,0,28,5,Some Random Commen with Id 38
39,7,0,127,1,Some Random Commen with Id 39
40,7,0,100,7,Some Random Commen with Id 40
41,8,4,168,3,Some Random Commen with Id 41
42,8,4,1,7,Some Random Commen with Id 42
43,8,4,112,7,Some Random Commen with Id 43
44,8,4,184,9,Some Random Commen with Id 44
45,8,4,174,8,Some Random Commen with Id 45
46,8,4,18,9,Some Random Commen with Id 46
47,8,4,26,7,Some Random Commen with Id 47
48,9,3,168,5,Some Random Commen with Id 48
49,9,3,152,4,Some Random Commen with Id 49
50,10,8,50,8,Some Random Commen with Id 50
51,10,8,145,1,Some Random Commen with Id 51
52,10,8,31,5,Some Random Commen with Id 52
53,11,9,35,1,Some Random Commen with Id 53
54,11,9,144,0,Some Random Commen with Id 54
55,11,9,57,9,Some Random Commen with Id 55
56,13,0,27,9,Some Random Commen with Id 56
57,13,0,39,6,Some Random Commen with Id 57
58,13,0,177,5,Some Random Commen with Id 58
59,13,0,4,6,Some Random Commen with Id 59
60,14,6,78,4,Some Random Commen with Id 60
61,14,6,44,4,Some Random Commen with Id 61
62,14,6,19,9,Some Random Commen with Id 62
63,14,6,7,7,Some Random Commen with Id 63
64,14,6,91,9,Some Random Commen with Id 64
65,14,6,107,2,Some Random Commen with Id 65
66,14,6,195,9,Some Random Commen with Id 66
67,14,6,193,8,Some Random Commen with Id 67
68,15,8,93,1,Some Random Commen with Id 68
69,15,8,3,8,Some Random Commen with Id 69
70,15,8,34,8,Some Random Commen with Id 70
71,15,8,162,6,Some Random Commen with Id 71
72,15,8,50,7,Some Random Commen with Id 72
73,15,8,8,9,Some Random Commen with Id 73
74,15,8,171,9,Some Random Commen with Id 74
75,16,9,102,4,Some Random Commen with Id 75
76,16,9,183,0,Some Random Commen with Id 76
77,17,4,102,2,Some Random Commen with Id 77
78,17,4,43,2,Some Random Commen with Id 78
79,17,4,38,3,Some Random Commen with Id 79
80,17,4,151,2,Some Random Commen with Id 80
81,17,4,20,7,Some Random Commen with Id 81
82,17,4,10,7,Some Random Commen with Id 82
83,19,9,158,6,Some Random Commen with Id 83
84,19,9,90,1,Some Random Commen with Id 84
85,19,9,115,9,Some Random Commen with Id 85
86,19,9,106,5,Some Random Commen with Id 86
87,19,9,58,3,Some Random Commen with Id 87
88,20,7,113,5,Some Random Commen with Id 88
89,20,7,106,1,Some Random Commen with Id 89
90,20,7,140,7,Some Random Commen with Id 90
91,21,6,129,4,Some Random Commen with Id 91
92,21,6,31,4,Some Random Commen with Id 92
93,21,6,101,7,Some Random Commen with Id 93
94,22,0,145,9,Some Random Commen with Id 94
95,22,0,78,2,Some Random Commen with Id 95
96,22,0,88,1,Some Random Commen with Id 96
97,22,0,181,7,Some Random Commen with Id 97
98,23,7,67,3,Some Random Commen with Id 98
99,23,7,63,8,Some Random Commen with Id 99
100,23,7,107,1,Some Random Commen with Id 100
101,23,7,7,0,Some Random Commen with Id 101
102,23,7,16,5,Some Random Commen with Id 102
103,23,7,185,4,Some Random Commen with Id 103
104,23,7,9,0,Some Random Commen with Id 104
105,24,5,115,9,Some Random Commen with Id 105
106,24,5,47,3,Some Random Commen with Id 106
107,24,5,100,6,Some Random Commen with Id 107
108,24,5,90,2,Some Random Commen with Id 108
109,24,5,43,8,Some Random Commen with Id 109
110,24,5,10,5,Some Random Commen with Id 110
111,25,0,153,4,Some Random Commen with Id 111
112,26,9,111,0,Some Random Commen with Id 112
113,26,9,48,4,Some Random Commen with Id 113
114,27,7,62,4,Some Random Commen with Id 114
115,27,7,58,7,Some Random Commen with Id 115
116,27,7,47,8,Some Random Commen with Id 116
117,27,7,38,3,Some Random Commen with Id 117
118,27,7,40,3,Some Random Commen with Id 118
119,27,7,45,7,Some Random Commen with Id 119
120,27,7,74,9,Some Random Commen with Id 120
121,27,7,27,7,Some Random Commen with Id 121
122,29,8,49,6,Some Random Commen with Id 122
123,29,8,109,0,Some Random Commen with Id 123
124,29,8,95,7,Some Random Commen with Id 124
125,30,6,8,0,Some Random Commen with Id 125
126,30,6,58,5,Some Random Commen with Id 126
127,30,6,151,3,Some Random Commen with Id 127
128,30,6,18,3,Some Random Commen with Id 128
129,30,6,41,7,Some Random Commen with Id 129
130,30,6,56,6,Some Random Commen with Id 130
131,30,6,163,0,Some Random Commen with Id 131
132,30,6,76,7,Some Random Commen with Id 132
133,30,6,165,0,Some Random Commen with Id 133
134,31,2,88,6,Some Random Commen with Id 134
135,31,2,179,4,Some Random Commen with Id 135
136,31,2,11,4,Some Random Commen with Id 136
137,31,2,47,7,Some Random Commen with Id 137
138,31,2,1,0,Some Random Commen with Id 138
139,31,2,156,1,Some Random Commen with Id 139
140,31,2,127,9,Some Random Commen with Id 140
141,32,1,57,7,Some Random Commen with Id 141
142,32,1,118,1,Some Random Commen with Id 142
143,32,1,76,6,Some Random Commen with Id 143
144,32,1,138,3,Some Random Commen with Id 144
145,32,1,150,7,Some Random Commen with Id 145
146,33,3,146,3,Some Random Commen with Id 146
147,33,3,119,3,Some Random Commen with Id 147
148,33,3,159,4,Some Random Commen with Id 148
149,33,3,50,0,Some Random Commen with Id 149
150,33,3,72,1,Some Random Commen with Id 150
151,33,3,98,3,Some Random Commen with Id 151
152,33,3,54,8,Some Random Commen with Id 152
153,34,3,82,0,Some Random Commen with Id 153
154,34,3,144,7,Some Random Commen with Id 154
155,34,3,31,1,Some Random Commen with Id 155
156,34,3,72,6,Some Random Commen with Id 156
157,34,3,43,9,Some Random Commen with Id 157
158,35,0,166,5,Some Random Commen with Id 158
159,35,0,50,3,Some Random Commen with Id 159
160,35,0,12,2,Some Random Commen with Id 160
161,35,0,2,5,Some Random Commen with Id 161
162,35,0,109,4,Some Random Commen with Id 162
163,35,0,65,8,Some Random Commen with Id 163
164,35,0,67,5,Some Random Commen with Id 164
165,35,0,3,2,Some Random Commen with Id 165
166,35,0,19,0,Some Random Commen with Id 166
167,36,3,172,9,Some Random Commen with Id 167
168,37,3,197,4,Some Random Commen with Id 168
169,38,0,83,6,Some Random Commen with Id 169
