Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,22,4,Some Random Commen with Id 0
1,0,7,87,3,Some Random Commen with Id 1
2,2,1,152,9,Some Random Commen with Id 2
3,2,1,184,8,Some Random Commen with Id 3
4,2,1,11,1,Some Random Commen with Id 4
5,2,1,189,5,Some Random Commen with Id 5
6,4,3,162,9,Some Random Commen with Id 6
7,4,3,25,4,Some Random Commen with Id 7
8,4,3,67,6,Some Random Commen with Id 8
9,5,1,29,5,Some Random Commen with Id 9
10,5,1,179,0,Some Random Commen with Id 10
11,5,1,124,5,Some Random Commen with Id 11
12,5,1,107,8,Some Random Commen with Id 12
13,5,1,2,4,Some Random Commen with Id 13
14,5,1,7,0,Some Random Commen with Id 14
15,6,3,16,4,Some Random Commen with Id 15
16,6,3,91,3,Some Random Commen with Id 16
17,6,3,4,9,Some Random Commen with Id 17
18,6,3,64,0,Some Random Commen with Id 18
19,6,3,158,1,Some Random Commen with Id 19
20,6,3,88,4,Some Random Commen with Id 20
21,6,3,51,4,Some Random Commen with Id 21
22,7,8,159,2,Some Random Commen with Id 22
23,7,8,182,5,Some Random Commen with Id 23
24,8,6,169,6,Some Random Commen with Id 24
25,8,6,14,2,Some Random Commen with Id 25
26,8,6,90,7,Some Random Commen with Id 26
27,8,6,154,1,Some Random Commen with Id 27
28,8,6,50,1,Some Random Commen with Id 28
29,8,6,145,5,Some Random Commen with Id 29
30,8,6,150,1,Some Random Commen with Id 30
31,9,9,38,9,Some Random Commen with Id 31
32,9,9,64,7,Some Random Commen with Id 32
33,9,9,187,6,Some Random Commen with Id 33
34,9,9,183,2,Some Random Commen with Id 34
35,10,4,147,4,Some Random Commen with Id 35
36,10,4,109,5,Some Random Commen with Id 36
37,10,4,93,9,Some Random Commen with Id 37
38,10,4,152,9,Some Random Commen with Id 38
39,10,4,126,6,Some Random Commen with Id 39
40,10,4,90,4,Some Random Commen with Id 40
41,10,4,65,8,Some Random Commen with Id 41
42,10,4,179,8,Some Random Commen with Id 42
43,11,0,138,1,Some Random Commen with Id 43
44,11,0,2,2,Some Random Commen with Id 44
45,11,0,104,4,Some Random Commen with Id 45
46,11,0,159,2,Some Random Commen with Id 46
47,12,4,130,4,Some Random Commen with Id 47
48,12,4,98,2,Some Random Commen with Id 48
49,12,4,5,7,Some Random Commen with Id 49
50,12,4,94,9,Some Random Commen with Id 50
51,12,4,11,0,Some Random Commen with Id 51
52,12,4,110,9,Some Random Commen with Id 52
53,12,4,190,0,Some Random Commen with Id 53
54,13,5,185,4,Some Random Commen with Id 54
55,13,5,115,5,Some Random Commen with Id 55
56,13,5,127,7,Some Random Commen with Id 56
57,13,5,26,1,Some Random Commen with Id 57
58,14,0,187,9,Some Random Commen with Id 58
59,14,0,168,3,Some Random Commen with Id 59
60,14,0,186,8,Some Random Commen with Id 60
61,14,0,72,3,Some Random Commen with Id 61
62,14,0,72,3,Some Random Commen with Id 62
63,14,0,90,6,Some Random Commen with Id 63
64,14,0,118,4,Some Random Commen with Id 64
65,14,0,77,5,Some Random Commen with Id 65
66,14,0,143,4,Some Random Commen with Id 66
67,15,8,167,2,Some Random Commen with Id 67
68,15,8,29,9,Some Random Commen with Id 68
69,15,8,24,4,Some Random Commen with Id 69
70,15,8,11,3,Some Random Commen with Id 70
71,15,8,75,5,Some Random Commen with Id 71
72,16,5,187,6,Some Random Commen with Id 72
73,16,5,7,5,Some Random Commen with Id 73
74,16,5,149,0,Some Random Commen with Id 74
75,16,5,140,3,Some Random Commen with Id 75
76,16,5,147,7,Some Random Commen with Id 76
77,18,4,38,0,Some Random Commen with Id 77
78,19,1,133,7,Some Random Commen with Id 78
79,19,1,100,8,Some Random Commen with Id 79
80,19,1,82,2,Some Random Commen with Id 80
81,19,1,108,5,Some Random Commen with Id 81
82,19,1,137,7,Some Random Commen with Id 82
83,19,1,96,1,Some Random Commen with Id 83
84,19,1,14,9,Some Random Commen with Id 84
85,19,1,163,9,Some Random Commen with Id 85
86,20,9,93,0,Some Random Commen with Id 86
87,20,9,58,6,Some Random Commen with Id 87
88,21,9,22,3,Some Random Commen with Id 88
89,21,9,145,6,Some Random Commen with Id 89
90,22,7,153,0,Some Random Commen with Id 90
91,22,7,53,8,Some Random Commen with Id 91
92,22,7,153,7,Some Random Commen with Id 92
93,22,7,171,7,Some Random Commen with Id 93
94,22,7,155,8,Some Random Commen with Id 94
95,22,7,131,8,Some Random Commen with Id 95
96,22,7,165,7,Some Random Commen with Id 96
97,22,7,106,7,Some Random Commen with Id 97
